性別,男性,女性
0-4歲合計,"51,528","47,883"
5-9歲合計,"71,095","65,866"
10-14歲合計,"70,705","65,897"
15-19歲合計,"68,993","63,995"
20-24歲合計,"83,215","78,032"
25-29歲合計,"101,631","96,283"
30-34歲合計,"106,652","102,862"
35-39歲合計,"104,006","103,824"
40-44歲合計,"120,861","126,682"
45-49歲合計,"114,221","123,327"
50-54歲合計,"97,571","110,320"
55-59歲合計,"98,533","110,831"
60-64歲合計,"94,759","107,342"
65-69歲合計,"81,989","93,712"
70-74歲合計,"63,046","74,098"
75-79歲合計,"31,859","39,317"
80-84歲合計,"19,593","27,615"
85-89歲合計,"10,117","16,540"
90-94歲合計,"4,126","6,654"
95-99歲合計,"1,307","1,643"
100歲以上,197,231
